Name of the Power Station,Fuel,Producer ,     Installed Capacity,, Capacity,"for Fuel
",for plant. S/D,Shut down (date)/,Start up,Area,,,
shahjibazarg89,Gas,PDB,2*35,70,66,,32,Under maint.,,Sylhet,,,
meghnaghatuniquepower,Gas,IPP,586,584,584,,584,Gas shortage,,Dhaka,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,135,,Low water lavel,,Chattogram,,,
baghabari50peaking,HFO,PDB,6*8.9,52,52,,22,Fuel shortage,,Rajshahi,,,
sirajgonj2251,Gas/HSD,NWPGCL,1*150+1*75,210,210,60,,,,Rajshahi,,,
chowmuhani113,HFO,IPP,12*9.78+2*3.1,113,113,-1,,Fuel shortage,,Cumilla,,,
bhola225,Gas,PDB,2*63+1*68,194,194,103,,Gas shortage & GT-1 S/D,,Barisal,,,
ashuganj195apscled,Gas,IPP,20*9.73+1*16,195,195,152,,Gas shortage,,Cumilla,,,
bibiyanaiii400,Gas,PDB,400 MW,400,400,,174,,,Sylhet,,,
baghabari71g,Gas,PDB,1*71,71,71,,71,,,Rajshahi,,,
bogura20energyprima,Gas,RPP ,5*3.3+5*2,20,10,,7,Engine problem,,Rajshahi,,,
mymensinghrpcl210,Gas,IPP,4*35+1*70,210,202,41,,Gas Shortage,,Mymensingh,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,57,Machine problem.,,Sylhet,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,,ST-1 under shut down,,Barisal,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,153,,Low water lavel,,Chattogram,,,
meghnaghat100iel,HFO,NENP,12*8.9,100,100,,40,Fuel shortage,,Dhaka,,,
siddhirganj100dutchbangla,HFO,NENP,12*8.9,100,100,,10,Fuel shortage,,Dhaka,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,24,Engine problem,,Cumilla,,,
siddhirganj335,Gas,EGCB,1*217+118,335,335,,35,ST under maint.,,Dhaka,,,
maona33summit,Gas,"SIPP,REB",4*8.73,33,33,,6,Engine problem,,Dhaka,,,
sikalbaha105barakasikalbaha,HFO,IPP,6*17.5,105,105,,15,Engine problem,,Chattogram,,,
ashuganj420east,Gas,APSCL,284*1+116*1,400,400,125,,Gas shortage,,Cumilla,,,
bheramara410,Gas,NWPGCL,1*278+1*132,410,410,216,,Gas shortage,,Khulna,,,
ashuganj450north,Gas,APSCL,1*360,360,360,95,,"ST under maint, Gas shortage",,Cumilla,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,335,335,,185,GT-2 under maint.,,Dhaka,,,
sikalbaha225,Gas/HSD,PDB,1*150+1*175,225,225,,95, ST Under S/D,,Chattogram,,,
ashuganj450north,Gas,APSCL,1*360,360,360,20,,FGMO,,Cumilla,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,134,,Gas shortage,,Mymensingh,,,
shajibazar330,Gas,PDB,3*110,330,330,,110,Engine problem,,Sylhet,,,
sirajgonj2252,Gas/HSD,NWPGCL,1*150+1*75,220,220,96,,Gas shortage,,Rajshahi,,,
sirajgonj2253,Gas/HSD,NWPGCL,1*141,220,220,94,,Gas shortage,,Rajshahi,,,
madanganj55summit,HFO,IPP,3*17.08+1*11.3,55,55,12,,Fuel shortage,,Dhaka,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,18,,,,Chattogram,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,81,machine problem,,Sylhet,,,
edpayrapower,HFO,IPP,8*18.5+1*9.5,150,150,100,,Fuel shortage.,,Barisal,,,
siddhirganj100dutchbangla,HFO,NENP,12*8.9,100,100,,22,Engine problem,,Dhaka,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,190,,Low Water Level ,,Chattogram,,,
ashuganj150midland,HFO,IPP,23*7.015,150,150,63,,Fuel shortage,,Cumilla,,,
jangalia52lakdanavi,HFO,IPP,6*8.92,52,52,24,,Fuel shortage,,Cumilla,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,121,,Gas shortage,,Sylhet,,,
chapainawabganj100peaking,HFO,PDB,12*8.924,104,104,,47,Engine problem,,Rajshahi,,,
ghorasal3657,Gas,PDB,1*243+1*122,365,365,,115,Machine problem.,,Dhaka,,,
mymensingh200ed,HFO,IPP,200,200,200,,10,,,Mymensingh,,,
fenchugonj51barakatullah,Gas,RPP ,19*2.90,51,51,,4,Engine problem,,Sylhet,,,
ghorashalregent,Gas,IPP,34*3.35,108,108,58,,Gas shortage,,Dhaka,,,
chandpurdesh200,HFO,IPP,0,200,200,183,,Fuel shortage,,Cumilla,,,
siddhirgonjgt12,Gas,EGCB, 2*105,210,210,30,,,,Dhaka,,,
bancoenergy54,HFO,IPP,3*18,54,54,,0,Engine problem,,Dhaka,,,
ashuganjed53,Gas,QRPP,14*4,53,53,53,,Gas Shortage,,Cumilla,,,
ashuganj195modular,Gas,IPP,20*9.73+1*16,195,195,122,,Gas shortage,,Cumilla,,,
baghabarigt71,Gas,PDB,1*71,71,71,,,Gas line maintenance.,,Rajshahi,,,
kodda150,HFO,BPDB-RPCL,9*17.06,149,149,4,,Fuel shortage,,Dhaka,,,
keranigonj300apr,HSD,IPP,256*1.4,300,300,,,Fuel shortage,,Dhaka,,,
raozan25,HFO,RPCL,3*8.9,25,25,9,,Fuel shortage,,Chattogram,,,
rampal1320bifpcl,Coal,NTPC&BPDB,660*2,617,617,,167,Machine problem,,Khulna,,,
bosila108clc,HFO,IPP,12*8.775+1*3.5,108,108,,39,Engine problem,,Dhaka,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,,,Under shut down.,,Cumilla,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,450,,GT-2 S/D,,Dhaka,,,
210siddhirgonj,Gas,PDB, 1*210,210,115,,35,Gas shortage,,Dhaka,,,
chattogram1,Gas,PDB,1*210,210,180,60,,Machine problem,,Chattogram,,,
ghorashalregent,Gas,IPP,34*3.35,108,108,8,,,,Dhaka,,,
haripurgt12,Gas,"SBU, PDB",2*32,64,40,,,Gas shortage,,Dhaka,,,
summitgazipur2,HFO,IPP,18*17.076,300,300,,,Low Demand,,Dhaka,,,
aprenergykeranigonj,HSD,IPP,256*1.4,300,300,,,Low Demand,,Dhaka,,,
aggrekoaurahati100,HSD,IPP,0.85*23+0.95*91,100,100,,,Low Demand,,Dhaka,,,
gazipur100,HFO,RPCL,100 MW,0,0,,,Low Demand,,Dhaka,,,
chattogramst1raozan,Gas,PDB,1*210,210,180,80,,Machine Problem,,Chattogram,,,
ashuganjenginestsk,Gas,APSCL,14*3.968,53,45,12,,Gas Shortage,,Cumilla,,,
ashuganj195modular,Gas,IPP,20*9.73+1*16,195,195,115,,Gas shortage,,Cumilla,,,
midland150,HFO,IPP,23*7.015,150,150,,,Low Demand,,Cumilla,,,
daudkandipeaking52,HFO,PDB,6*8.92,52,52,,,Low Demand,,Cumilla,,,
chandpur,Gas,PDB,1*106+1*57,163,163,,,Under maint.,,Cumilla,,,
daudkandibanglatrak,HSD,IPP,154*1.4,200,200,,,Low Demand,,Cumilla,,,
shajibazar330,Gas,PDB,3*110,330,330,,," FGMO, GT-1 under maint.",2019-06-05 00:00:00,Sylhet,,,
gopalganjpeaking,HFO,PDB,16*6.98,109,109,,,Low Demand,,Khulna,,,
haripur412,Gas,EGCB,1*273+1*139,412,412,132,,ST under maint ,,Dhaka,,,
jangalia33summit,Gas,"SIPP, PDB",4*8.73,33,33,,0,,,Cumilla,,,
cumilla25summit,Gas,"SIPP, PDB",3*3.67+2*6.97,25,25,,9,Engine problem,,Cumilla,,,
meghnaghat104opcl,HFO,IPP,18.5*6,104,104,39,,Fuel shortage,,Dhaka,,,
payra1320,Coal,BCPCL,2*622,1244,1244,,994,Rampal Test,,Barisal,,,
sspoweri,Coal,SS Power ,2*612,1224,1224,919,,,,Chattogram,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,114,,Gas shortage,,Mymensingh,,,
jamalpur115ed,HFO,IPP,9.78*12,115,115,48,,Fuel shortage,,Mymensingh,,,
bibiyanaiii400,Gas,PDB,285*1+134*1,400,400,,400,,,Sylhet,,,
barisal307,Coal,IPP,307*1,307,307,82,,Coal Shortage.,,Barisal,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,174,,Gas shortage,,Mymensingh,,,
dohazarikalaish100peaking,HFO,PDB,6*17,102,102,102,,,,Chattogram,,,
sirajgonj2251,Gas/HSD,NWPGCL,1*150+1*75,210,210,,210,shut down due to gas shortage.,,Rajshahi,,,
haripur412,Gas,EGCB,1*273+1*139,412,412,47,,Gas shortage,,Dhaka,,,
sirajgonj4004,Gas/HSD,SNWPGCL,1*282+1*132,414,414,179,,Gas shortage,,Rajshahi,,,
sikalbaha225,Gas/HSD,PDB,1*150+1*75,225,225,,,Filter Change,,Chattogram,,,
mirsharai150,HFO,BPDB-RPCL,18.5*9,163,163,,3,Engine problem,,Chattogram,,,
meghnaghat100iel,HFO,NENP,12*8.9,100,100,,10,Fuel shortage.,,Dhaka,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,21,,Fuel shortage,,Chattogram,,,
juldah1003acorn,HFO,IPP,8*13.5,100,100,39,,Fuel shortage,,Chattogram,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,121,,Gas shortage,,Cumilla,,,
chowmuhani113,HFO,IPP,12*9.78+2*3.1,113,113,,24,Engine problem,,Cumilla,,,
barisal307,Coal,IPP,307*1,307,307,107,,Coal shoratge,,Barisal,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,0,,GT-2 Under S/D,,Dhaka,,,
sikalbaha225,Gas/HSD,PDB,1*150+1*75,225,225,37,,Gas shortage,,Chattogram,,,
ashuganj195modular,Gas,IPP,20*9.73+1*16,195,195,122,,Gas Shortage,,Cumilla,,,
ashuganjmidland51,Gas,IPP,6*9.34,51,51,46,,Gas shortage,,Cumilla,,,
mymensinghrpcl210,Gas,IPP,4*35+1*70,210,202,45,,Gas shortage ,,Mymensingh,,,
bhola194,Gas,PDB,2*63+1*68,194,194,,89, ST under maint.,,Barisal,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,18,,Gas shortage,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,,Under maint.,,Cumilla,,,
sirajgonj2252,Gas/HSD,NWPGCL,1*150+1*75,220,220,,,Under shut down.,,Rajshahi,,,
siddhirganj335,Gas,EGCB,1*217+118,335,335,117,,ST shut down,,Dhaka,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,20,Machine problem,,Cumilla,,,
mymensingh200ed,HFO,IPP,9.78*21,200,200,,75,Engine problem,,Mymensingh,,,
ghorashal108regent,Gas,IPP,34*3.35,108,108,17,,Gas shortage,,Dhaka,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,335,335,40,,FGMO,,Dhaka,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,1,,FGMO,,Cumilla,,,
ashuganj55precision,Gas,QRPP,15*4,55,55,20,,,,Cumilla,,,
jamalpur115ed,HFO,IPP,9.78*12,115,115,2,,,,Mymensingh,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,170,,Dust in the gas line,,Dhaka,,,
fenchugonjphase1,Gas,PDB,2*32+1*33,97,70,,30,Engine problem,,Sylhet,,,
shahjibazarg89,Gas,PDB,2*35,70,66,,14,Engine problem,,Sylhet,,,
maona33summit,Gas,"SIPP,REB",4*8.73,33,33,,26,Engine problem,,Dhaka,,,
rampal1320bifpcl,Coal,NTPC&BPDB,617*2,1234,1234,,624,Unit-2 shut down,,Khulna,,,
siddhirgonj2120g,Gas,EGCB, 2*105,210,210,110,, Gas shortage,,Dhaka,,,
haripur412,Gas,EGCB,1*273+1*139,412,400,,70,,,Dhaka,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,6,,Gas shortage,,Cumilla,,,
chandpur200deshenergy,HFO,IPP,12*18.4,200,200,95,,Fuel shortage,,Cumilla,,,
bagura113confidence2,HFO,IPP,6*18.55+7.2,113,113,25,,Fuel shortage,,Rajshahi,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,75,,Low water level,,Chattogram,,,
katpotti51,HFO,IPP,7*7.9,51,51,,,Engine problem,,Dhaka,,,
kaptaihydro12345,Hydro,PDB,2*40+3*50,230,230,,126,Low water lavel,,Chattogram,,,
ashuganj195modular,Gas,IPP,20*9.73+1*16,195,195,117,,Gas Shortage,,Cumilla,,,
mymensinghrpcl210,Gas,IPP,4*35+1*70,210,202,32,,Gas shortage ,,Mymensingh,,,
ghorasalrepowered4,Gas,PDB,1*210,210,180,,-20,,,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217+118,335,335,125,,Gas shortage,,Dhaka,,,
sikalbaha225,Gas/HSD,PDB,1*150+1*75,225,225,45,,Gas shortage,,Chattogram,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,,51,Engine problem,,Chattogram,,,
chandpur200deshenergy,HFO,IPP,12*18.4,200,200,,25,Engine problem,,Cumilla,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,335,335,,,Gas shortage.,,Dhaka,,,
manikgonj162mpgl,HFO,IPP,9*18,162,162,111,,Fuel shortage,,Dhaka,,,
anwara300ed,HFO,IPP,17*17+24,300,300,231,,Fuel shortage,,Chattogram,,,
juldah2acorn,HFO,IPP,8*13.6,100,100,,14,Engine problem,,Chattogram,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,96,Partial Shutdown due to maintenance,,Sylhet,,,
edpayrapower,HFO,IPP,8*18.5+1*9.5,150,150,,,Machine problem,,Barisal,,,
barisal307,Coal,IPP,307*1,307,307,,157,,,Barisal,,,
barapukuria2753,Coal,PDB,1*275,274,274,,174,Machine problem,,Rangpur,,,
shajibazar330,Gas,PDB,3*110,330,330,,120,Machine problem,,Sylhet,,,
sikalbaha105barakasikalbaha,HFO,IPP,6*17.5,105,105,75,,Fuel shortage,,Chattogram,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,,91,ST Under maint.,,Cumilla,,,
chandpur200deshenergy,HFO,IPP,12*18.4,200,200,108,,Fuel shortage,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,63,,,Cumilla,,,
meghnaghat100iel,HFO,NENP,12*8.9,100,100,19,,Fuel shortage,,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217+118,335,335,,130,ST under maint,,Dhaka,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,14,,Gas shortage,,Cumilla,,,
jamalpur115ed,HFO,IPP,9.78*12,115,115,,6,Engine problem,,Mymensingh,,,
patenga50baraka,HFO,IPP,8*6.98,50,50,,50,Fuel shortage,,Chattogram,,,
payra1320,Coal,BCPCL,2*622,1244,1244,,944,Unit-2 U/M & Rampal Test,,Barisal,,,
ghorasalst5,Gas,PDB,1*210,210,190,,80,Gas shoetage,,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217,217,217,37,,,,Dhaka,,,
kaptaihydro12345,Hydro,PDB,2*40+3*50,230,230,,196,Low water lavel,,Chattogram,,,
ashuganjprecision55,Gas,RPP ,15*4,55,55,50,,Gas Shortage,,Cumilla,,,
ashuganjed53,Gas,QRPP,14*4,53,53,0,,,,Cumilla,,,
shajibazar330,Gas,PDB,3*110,330,330,,171,,,Sylhet,,,
haripur412,Gas,EGCB,1*273+1*139,412,400,,120,DP High,,Dhaka,,,
gagnagar102digitalpower,HFO,IPP,12*8.924,102,102,93,,Fuel shortage,,Dhaka,,,
ashuganj55precision,Gas,NENP,0,55,55,25,,Gas shortage,,Cumilla,,,
bheramara410,Gas,NWPGCL,1*278+1*132,410,410,103,,Gas shortage,,Khulna,,,
bhola33venture,Gas,NENP,1*34.50,40,10,,5,Engine problem,,Barisal,,,
payra1320,Coal,BCPCL,2*622,1244,1244,,,Unit-2 under maint,,Barisal,,,
barapukuria1,Coal,PDB,1*125,125,85,,10,Machine problem,,Rangpur,,,
madanganj55summit,HFO,IPP,3*17.08+1*11.3,55,55,10,,Fuel shortage,,Dhaka,,,
siddhirganj100dutchbangla,HFO,NENP,12*8.9,100,100,52,,Fuel shortage,,Dhaka,,,
bramhangoan100aggreko,HSD,IPP,114*0.959,100,100,,,Contract Expired,,Dhaka,,,
sikalbaha225,Gas/HSD,PDB,1*150+1*75,225,225,,3,,,Chattogram,,,
juldah1001acorn,HFO,NENP,8*13.45,100,100,31,,Fuel shortage,,Chattogram,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,231,,Gas line maint.,,Sylhet,,,
bagura113confidence2,HFO,IPP,6*18.55+7.2,113,113,0,,,,Rajshahi,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,77,,Low water level,,Chattogram,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,77,,Gas shortage,,Mymensingh,,,
siddhirganj335,Gas,EGCB,1*217,217,217,,-23,,,Dhaka,,,
chattogramst1raozan,Gas,PDB,1*210,210,180,80,,Machine problem.,,Chattogram,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,305,305,,170,GT-2 under maint.,,Dhaka,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,38,Machine problem,,Cumilla,,,
jamalpur95powerpac,HFO,IPP,12*8.924,95,95,,22,Engine problem,,Mymensingh,,,
shajibazar330,Gas,PDB,3*110,330,330,,200,GT-2 under maint.,,Sylhet,,,
ghorashal108regent,Gas,IPP,34*3.35,108,108,,56,Engine problem,,Dhaka,,,
meghnaghat100iel,HFO,NENP,12*8.9,100,100,,9,Engine problem,,Dhaka,,,
siddhirganj100dutchbangla,HFO,NENP,12*8.9,100,100,,19,Engine problem,,Dhaka,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,69,,Fuel shortage,,Chattogram,,,
faridpur50peaking,HFO,PDB,8*6.89,54,54,32,,Fuel shortage,,Khulna,,,
sirajgonj4004,Gas/HSD,SNWPGCL,1*282+1*132,414,414,129,,Gas shortage,,Rajshahi,,,
chapainawabganj100peaking,HFO,PDB,12*8.924,104,104,,30,Engine problem,,Rajshahi,,,
baghabari200paramount,HSD,IPP,135*1.6,200,200,,100,Fuel conservation,,Rajshahi,,,
bibiyanaiii400,Gas,PDB,285*1+134*1,400,400,,0,,,Sylhet,,,
siddhirganj335,Gas,EGCB,1*217,217,217,,335,Under Maint,,Dhaka,,,
meghnaghat100iel,HFO,NENP,12*8.9,100,100,86,,Fuel shortage,,Dhaka,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,335,335,335,,Gas shortage,,Dhaka,,,79560.0
ashuganj55precision,Gas,QRPP,0,55,55,-50,,Gas shortage,,Cumilla,,,
ashuganj5,Gas,APSCL,1*150,150,134,54,,Engine problem,,Cumilla,,,
siddhirgonj2120g,Gas,EGCB, 2*105,210,210,114,,Gas shortage,,Dhaka,,,
kodda150,HFO,BPDB-RPCL,9*17.06,149,149,20,,Fuel shortage,,Dhaka,,,
juldah2acorn,HFO,IPP,8*13.6,100,100,35,,Fuel shortage,,Chattogram,,,
titas50peaking,HFO,PDB,6*8.92,52,52,,16,Machine problem,,Cumilla,,,
chowmuhani113,HFO,IPP,12*9.78+2*3.1,113,113,16,,,,Cumilla,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,58,Machine problem,,Barisal,,,
katakhali50peaking,HFO,PDB,6*8.7,50,50,,22,Engine problem,,Rajshahi,,,
barapukuria1,Coal,PDB,1*125,125,85,,15,Machine problem,,Rangpur,,,
payra1320,Coal,BCPCL,2*622,1244,1244,644,,Coal Shortage.,,Barisal,,,
ghorasal5,Gas,PDB,1*210,210,190,85,,Gas shortage,,Dhaka,,,
ghorasalst12,Gas,PDB,2*55,110,85,,50,Engine problem,,Dhaka,,,
ghorashalregent,Gas,IPP,34*3.35,108,108,54,,Gas shortage,,Dhaka,,,
siddhirgonjgt12,Gas,EGCB, 2*105,210,210,170,,Gas shortage,,Dhaka,,,
ashuganjed53,Gas,QRPP,14*4,53,53,47,,Gas Shortage,,Cumilla,,,
mymensinghrpcl210,Gas,IPP,4*35+1*70,210,202,102,,GT-1 Under maint.,,Mymensingh,,,
siddhirganj335,Gas,EGCB,1*217+118,335,335,,103,ST under S/D,,Dhaka,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,163,under maint,,Cumilla,,,
mymensingh200ed,HFO,IPP,200,200,200,,18,Machine problem,,Mymensingh,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,335,335,95,,FGMO,,Dhaka,,,
haripur360hpl,Gas,IPP,1*235+1*125,360,360,23,,Gas shortage,,Dhaka,,,
chowmuhani113,HFO,IPP,12*9.78+2*3.1,113,113,26,,Fuel shortage,,Cumilla,,,
tangail22doreen,Gas,"SIPP, PDB",8*2.90,22,22,,7,Engine problem,,Mymensingh,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,47,Machine problem,,Sylhet,,,
gopalganj100peaking,HFO,PDB,16*6.98,109,109,64,,Fuel shortage,,Khulna,,,
bera70peaking,HFO,PDB,9*8.29,71,71,,69,Engine problem,,Rajshahi,,,
adanipowerjharkhanda,Coal,Imported power,748*2,1496,1496,961,,Coal shortage,,Rajshahi,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,160,,Gas shortage,,Dhaka,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,107,,Low water lavel,,Chattogram,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,33,Machine problem,,Cumilla,,,
barapukuria1,Coal,PDB,1*125,125,85,,10,Coal Shortage,,Rangpur,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,,,"FGMO,Under shut down",,Cumilla,,,
shajibazar330,Gas,PDB,3*110,330,330,,230,GT-2 & ST Under maint.,,Sylhet,,,
shahjibazargt89,Gas,PDB,2*35,70,66,,,"FGMO ,Under shut down",,Sylhet,,,
bhola194,Gas,PDB,2*63+1*68,194,194,,,under maint.,,Barisal,,,
sikalbaha225,Gas/HSD,PDB,1*150+1*75,225,225,,225,GBC Problem,,Chattogram,,,
karnaphulipower,HFO,IPP,18.415*6+6.5,110,110,,,Fuel shortage,,Chattogram,,,
kodda3002summit,HFO,IPP,18*17.076,300,300,15,,,,Dhaka,,,
sirajgonj4004,Gas/HSD,SNWPGCL,1*282+1*132,414,414,,414,,,Rajshahi,,,
shajibazar330,Gas,PDB,3*110,330,330,,330,Tripped at 10:22.,,Sylhet,,,
bramhangoan100aggreko,HSD,IPP,114*0.959,100,100,100,,Fuel Shortage,,Dhaka,,,
aurahati100aggreko,HSD,IPP,0.85*23+0.95*91,100,100,20,,Fuel Shortage,,Dhaka,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,9,,Engine problem,,Cumilla,,,
fenchuganj44energyprima,Gas,NENP,12*3.3+5*2,50,50,,45,Gas shortage,,Sylhet,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,91,ST under maint,,Sylhet,,,
baghabari200paramount,HSD,IPP,135*1.6,200,200,30,,Engine problem,,Rajshahi,,,
ashuganj55precision,Gas,RPP ,15*4,55,55,5,,,,Cumilla,,,
haripur412,Gas,EGCB,1*273+1*139,412,412,48,,Gas shortage,,Dhaka,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,265,,Dirty fuel,,Dhaka,,,
keranigonj300apr,HSD,IPP,256*1.4,300,300,,100,Engine problem,,Dhaka,,,
mymensingh200ed,HFO,IPP,9.78*21,200,200,38,,Fuel shortage,,Mymensingh,,,
noapara100banglatrac,HSD,IPP,70*1.4,100,100,,3,Engine problem,,Khulna,,,
sirajgonj2253,Gas/HSD,NWPGCL,1*141,220,220,67,,Gas shortage,,Rajshahi,,,
baghabari200paramount,HSD,IPP,135*1.6,200,200,,85,Engine problem,,Rajshahi,,,
energypacpowerventurethakurgaon,HFO,IPP,115,115,115,,19,Fuel shortage,,Rangpur,,,
jamalpur115ed,HFO,IPP,115 MW,115,115,,19,Engine problem,,Mymensingh,,,
sympasolarpower,Solar,IPP,8 MW,0,0,,,,,Rangpur,,,
ghorashal108regent,Gas,IPP,34*3.35,108,108,52,,Gas shortage,,Dhaka,,,
meghnaghat100iel,HFO,NENP,12*8.9,100,100,,59,Engine problem,,Dhaka,,,
madanganj55summit,HFO,IPP,3*17.08+1*11.3,55,55,,40,Engine problem,,Dhaka,,,
payra1320,Coal,BCPCL,2*622,1244,1244,,864,Rampal Test,,Barisal,,,
baghabari71g,Gas,PDB,1*71,71,71,1,,Gas shortage,,Rajshahi,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,,115,Unit 2 & 5  under maint.,,Chattogram,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,124,machine problem,,Barisal,,,
barapukuria2753,Coal,PDB,1*275,274,274,,250,Under maint,,Rangpur,,,
madanganj102summit,HFO,NENP,6*17,102,102,5,,Fuel shortage,,Dhaka,,,
keraniganj100powerpac,HFO,QRPP,8*13.45,100,20,,52,Engine problem,,Dhaka,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,106,ST under maint.,,Sylhet,,,
shahjahanulla25,Gas,"SIPP, REB",3*9.34,25,25,3,,Gas shortage,,Sylhet,,,
khulna225,HSD,NWPGCL,1*150+1*75,230,230,22,,,,Khulna,,,
ghorasal3657,Gas,PDB,1*243+1*122,365,365,0,,,,Dhaka,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,,,GBC problem,,Dhaka,,,
bheramara410,Gas,NWPGCL,1*278+1*132,410,410,20,,Gas Shortage,,Khulna,,,
baghabari71g,Gas,PDB,1*71,71,71,,,Under  maint.,,Rajshahi,,,
ashuganj450north,Gas,APSCL,1*360,360,360,210,,"FGMO,ST S/D due to gas shortage.",,Cumilla,,,
chattogram2,Gas,PDB,1*210,210,180,,80,Machine problem.,,Chattogram,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,86,ST under shut down,,Sylhet,,,
faridpur50peaking,HFO,PDB,8*6.89,54,54,19,,Fuel shortage,,Khulna,,,
gopalganj100peaking,HFO,PDB,16*6.98,109,109,44,,Fuel shortage,,Khulna,,,
ghorashal108regent,Gas,IPP,34*3.35,108,108,,48,Engine problem,,Dhaka,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,450,,Gas valve problem,,Dhaka,,,
madanganj102summit,HFO,NENP,6*17,102,102,,4,Engine problem,,Dhaka,,,
meghnaghat104opcl,HFO,IPP,18.5*6,104,104,,50,Engine problem,,Dhaka,,,
titas50peaking,HFO,PDB,6*8.92,52,52,,13,Engine problem,,Cumilla,,,
mymensingh200ed,HFO,IPP,9.78*21,200,200,,50,Engine prolem,,Mymensingh,,,
jamalpur115ed,HFO,IPP,9.78*12,115,115,,15,Engine prolem,,Mymensingh,,,
ghorasalrepowered4,Gas,PDB,1*210,210,180,25,,Gas shortage,,Dhaka,,,
confidencepowerbogura1113,HFO,IPP,6*18.55,113,113,0,,Fuel shortage,,Rajshahi,,,
rangpur113confidence,HFO,IPP,9*6.984+7*7.015+3.15*2,113,113,14,,Fuel shortage,,Rangpur,,,
ashuganj150midland,HFO,IPP,23*7.015,150,150,,2,,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,73,machine problem.,,Cumilla,,,
fenchugonj51barakatullah,Gas,RPP ,19*2.90,51,51,36,,Gas shortage,,Sylhet,,,
fenchuganj44energyprima,Gas,RPP,12*3.3+5*2,50,50,30,,Gas shortage,,Sylhet,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,51,DP high,,Sylhet,,,
siddhirganj335,Gas,EGCB,1*217+118,335,335,263,,Gas shortage,,Dhaka,,,
energypacpowerventurethakurgaon,HFO,IPP,115,115,115,,47,Fuel shortage,,Rangpur,,,
ghorasal3657,Gas,PDB,1*243+1*122,365,365,,55,,,Dhaka,,,
