Name of the Power Station,Fuel,Producer ,     Installed Capacity,, Capacity,"for Fuel
",for plant. S/D,Shut down (date)/,Start up,Area,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,134,"ST, GT-1 Under maint.",,Barisal,,,
bhola95aggreko,Gas,QRPP,96*1.10,0,0,,,Contract Expired,From 18-3-2022,Barisal,,,
payra1320,Coal,BCPCL,2*622,1244,1244,,,,,Barisal,,,
bholanutanbiddutbd,Gas,IPP,220,220,220,,,,,Barisal,,,
edpayrapower,HFO,IPP,8*18.5+1*9.5,150,150,,,,,Barisal,,,
barisal307,Coal,IPP,307*1,307,307,,,,,Barisal,,,
baghabari71g,Gas,PDB,1*71,71,71,71,,Gas shortage,,Rajshahi,,,
baghabari100g,Gas,PDB,1*100,100,100,100,,Gas shortage,,Rajshahi,,,
baghabari50peaking,HFO,PDB,6*8.9,52,52,28,,Fuel shortage,,Rajshahi,,,
bera70peaking,HFO,PDB,9*8.29,71,71,,56,Engine problem,,Rajshahi,,,
amnura50sinha,HFO,NENP,7*7.79,50,28,,,,,Rajshahi,,,
katakhali50northern,HFO,QRPP,6*8.9,50,50,,16,Engine problem,,Rajshahi,,,
katakhali50peaking,HFO,PDB,6*8.7,50,50,,,,,Rajshahi,,,
sirajgonj2251,Gas/HSD,NWPGCL,1*150+1*75,210,210,210,,Gas shortage,,Rajshahi,,,
sirajgonj2252,Gas/HSD,NWPGCL,1*150+1*75,220,220,220,,Gas shortage,,Rajshahi,,,
sirajgonj2253,Gas/HSD,NWPGCL,1*141,220,220,40,,,,Rajshahi,,,
sirajgonj4004,Gas/HSD,SNWPGCL,1*282+1*132,414,414,,,,,Rajshahi,,,
santahar50peaking,HFO,PDB,6*8.7,50,50,15,,Engine problem,,Rajshahi,,,
bogra22gbb,Gas,RPP ,0,0,0,,,Contract Expired,,Rajshahi,,,
bogura20energyprima,Gas,NENP,5*3.3+5*2,0,0,,,Contract Expired,,Rajshahi,,,
ullapara11summit,Gas,"SIPP, REB",4*2.90,11,11,,6,Engine problem,,Rajshahi,,,
natore52rajlanka,HFO,IPP,6*8.92,52,52,44,,Fuel shortage,,Rajshahi,,,
chapainawabganj100peaking,HFO,PDB,12*8.924,104,104,,14,Engine problem,,Rajshahi,,,
baghabari200paramount,HSD,IPP,135*1.6,200,200,200,,Fuel shortage,,Rajshahi,,,
bagura113confidence2,HFO,IPP,6*18.55+7.2,113,113,113,,Fuel shortage,,Rajshahi,,,
